Calle,Codigo,Colonia,Municipio_Delegacion,Ciudad,Estado,Latitud,Longitud,Clientes
Av. Alfredo Del Mazo,54142,La Union Chalma,Tlalnepantla,Tlalnepantla De Baz,México,19.540185,-99.15387474,3381
Av. Jesus Reyes Heroles,54150,Valle Ceylan,Tlalnepantla,Tlalnepantla De Baz,México,19.54388145,-99.18241714,3432
Tepic Lt. 20 Mza. 17 W Zona Pte.,54150,Valle Ceylan,Tlalnepantla,Tlalnepantla De Baz,México,19.5422801,-99.18360755,3590
Paseo De La Marina Sur,48335,Villa Las Flores,Puerto Vallarta,Puerto Vallarta,Jalisco,20.66016765,-105.2491066,1800
Benito Juarez,53750,San Antonio Zomeyucan,Naucalpan,Naucalpan De Juarez,México,19.45506084,-99.24590716,3568
Autopista Guadalajara Zapotlanejo,45400,El Amial,Tonala,Tonala,Jalisco,20.60643849,-103.16404,1960
Km. 19.3 Autopista Guad-Zapotlanejo,45400,El Amial,Tonala,Tonala,Jalisco,20.61621919,-103.2315546,1998
Av. Paseo De Las Palmas,48344,Santa Maria,Puerto Vallarta,Puerto Vallarta,Jalisco,20.62720174,-105.2223743,1875
Peru,48350,Cinco De Diciembre,Puerto Vallarta,Puerto Vallarta,Jalisco,20.61977398,-105.2302742,1804
Avenida Mexico,48350,Cinco De Diciembre,Puerto Vallarta,Puerto Vallarta,Jalisco,20.61973852,-105.2312013,1800
Pulpito,48399,Amapas,Puerto Vallarta,Puerto Vallarta,Jalisco,20.59974484,-105.2358659,1991
Pafnuncio Padilla,53100,Ciudad Satelite,Naucalpan,Naucalpan De Juarez,México,19.51262511,-99.23117038,3389
Av. Santa Cruz Del Monte,53110,Santa Cruz Del Monte,Naucalpan,Naucalpan De Juarez,México,19.51608689,-99.25004303,3391
Av. Sor Juana I De La Cruz,54000,Tlanepantla De Baz Centro,Tlalnepantla,Tlalnepantla De Baz,México,19.53933407,-99.19743024,3558
Via Gustavo Baz Prada,54010,San Pedro Barrientos,Tlalnepantla,Tlalnepantla De Baz,México,19.581502,-99.203038,3533
Av. Revolucion,44840,Universitaria,Guadalajara,Guadalajara,Jalisco,20.6559513,-103.3187004,1870
"Quetzal, Esq. Av. Lomas Verdes",53120,Lomas Verdes,Naucalpan,Naucalpan De Juarez,México,19.50982442,-99.26169393,3526
Volador Mza. 5 Lt. 111,53126,Lomas Verdes 5Ta Secc,Naucalpan,Naucalpan De Juarez,México,19.51824824,-99.27266358,3520
Boulevard Del Centro,53140,Boulevares,Naucalpan,Naucalpan De Juarez,México,19.49572685,-99.24789893,3595
Blvd. Manuel Avila Camacho No. 118,53150,Santa Cruz Acatlan,Naucalpan,Naucalpan De Juarez,México,19.48484025,-99.23500598,3516
Av. Hidalgo,54030,Industrial Tlanepantla,Tlalnepantla,Tlalnepantla De Baz,México,19.54035035,-99.19466774,3421
Berriozabal,54030,San Javier,Tlalnepantla,Tlalnepantla De Baz,México,19.5376425,-99.19113656,3541
Berrizabal,54030,San Javier,Tlalnepantla,Tlalnepantla De Baz,México,19.53764524,-99.19386981,3516
Boulevard Manuel Avila Camacho,54040,Valle De Los Pinos,Tlalnepantla,Tlalnepantla De Baz,México,19.53652678,-99.21764538,3421
Av. Alvaro Obregon,49440,San Luis Soyatlan,Tuxcueca,Tuxcueca,Jalisco,20.20001514,-103.3093619,1811
Parcela 43 Crucero La Estacada Z1P4/7,49500,Mazamitla,Mazamitla,Mazamitla,Jalisco,19.93272509,-103.039083,1886
Av. Prolongacion Colon,45609,Parques De Santa Maria,Tlaquepaque,Tlaquepaque,Jalisco,20.59384383,-103.4119819,1883
Calzada De San Mateo Nopala,53240,Prado San Mateo,Naucalpan,Naucalpan De Juarez,México,19.49163644,-99.25288968,3465
Av. Convento De Santa Monica,54050,Jardines De Santa Monica,Tlalnepantla,Tlalnepantla De Baz,México,19.5343714,-99.22591506,3506
Av. Atlacomulco,54060,La Loma,Tlalnepantla,Tlalnepantla De Baz,México,19.52703754,-99.20766493,3466
Ramon Corona,49650,Tamazula De Gordiano,Tamazula De Gordiano,Tamazula De Gordiano,Jalisco,19.67606842,-103.2540806,1968
Av. Francisco Javier Mina,44730,San Juan Bosco,Guadalajara,Guadalajara,Jalisco,20.66862333,-103.3163228,1858
Av. 16 De Septiembre,53370,Naucalpan,Naucalpan,Naucalpan De Juarez,México,19.47055759,-99.22356009,3478
Rodolfo Gaona,53390,Lomas De Sotelo,Naucalpan,Naucalpan De Juarez,México,19.45293971,-99.21867414,3482
Libramiento Carretero Sur Pte.,49000,Ciudad Guzman Centro,Zapotlan El Grande,Zapotlan El Grande,Jalisco,19.68069603,-103.4777095,1990
Boulevard Manuel Avila Camacho,53500,San Andres Atoto,Naucalpan,Naucalpan De Juarez,México,19.46736367,-99.22508938,3413
Reforma,49010,Mansiones Del Real,Zapotlan El Grande,Ciudad Guzman,Jalisco,19.70324075,-103.4643063,1961
Hidalgo,49870,Pihuamo,Pihuamo,Pihuamo,Jalisco,19.25394511,-103.3791395,1943
Esteban Loera,44380,Zona Oblatos,Guadalajara,Guadalajara,Jalisco,20.68080171,-103.321745,1868
Justo Sierra,44500,Los Arcos,Guadalajara,Guadalajara,Jalisco,20.67790597,-103.3841851,1801
Av. Rinconada De Las Praderas,44530,Rincon Del Bosque,Guadalajara,Guadalajara,Jalisco,20.65515909,-103.388964,1813
Av. Faro,44540,Bosques De La Victoria,Guadalajara,Guadalajara,Jalisco,20.64773481,-103.3896138,1912
Av. Morelos Esq. Lopez Rayon En Toluca,50000,Toluca De Lerdo Centro,Toluca,Toluca,México,19.28824552,-99.65291724,3449
Av. Jose Ma. Morelos,50000,Toluca De Lerdo Centro,Toluca,Toluca,México,19.28818083,-99.6558397,3447
Av. Vicente Lombardo Toledano,50010,Celanese,Toluca,Toluca,México,19.30669853,-99.60797382,3422
Fuente Geovani,50016,Geo Villas De La Independencia,Toluca,Toluca,México,19.31113563,-99.59787289,3588
Valentin Velasco,48740,El Grullo,El Grullo,El Grullo,Jalisco,19.80105314,-104.2242323,1943
Av. Presidente Juarez,54073,Los Reyes Industrial,Tlalnepantla,Tlalnepantla De Baz,México,19.53261171,-99.19537937,3548
Good Year Oxxo,54080,Vista Hermosa,Tlalnepantla,Tlalnepantla De Baz,México,19.51713239,-99.22108111,3513
Av. Cruz Del Sur,44580,Santa Eduwiges,Guadalajara,Guadalajara,Jalisco,20.63766902,-103.395221,1862
Ramos Millan,44600,Santa Teresita,Guadalajara,Guadalajara,Jalisco,20.68304597,-103.3671199,1862
Periferico Oriente,45410,Prados De Coyula Secc I,Tonala,Tonala,Jalisco,20.66670179,-103.2331643,1868
Bosques De Minas,52778,Palo Solo,Huixquilucan,Huixquilucan De Degollado,México,19.41852294,-99.26673603,3483
Calle Francisco Jimenez,13360,La Conchita,Tlahuac,Ciudad De Mexico,Ciudad de México,19.29198265,-99.03618918,1813
Faja De Oro Prolongacion  Poniente,36747,Guadalupe,Salamanca,Salamanca,Guanajuato,20.58003,-101.21242,2213
Av. Mexico Xochimilco,14370,San Lorenzo Huipulco,Tlalpan,Ciudad De Mexico,Ciudad de México,19.29687979,-99.15187519,1831
Club Deportivo Oro,14370,Villa Lazaro Cardenas,Tlalpan,Ciudad De Mexico,Ciudad de México,19.29621079,-99.13433969,2017
Prolongacion Canal De Miramontes,14378,Rincon De San Juan,Tlalpan,Ciudad De Mexico,Ciudad de México,19.28582705,-99.13245407,1923
Ixnahualtongo,15820,Lorenzo Boturini,Venustiano Carranza,Ciudad De Mexico,Ciudad de México,19.41713261,-99.12554198,1925
Ixnahualtongo,15820,Lorenzo Boturini,Venustiano Carranza,Ciudad De Mexico,Ciudad de México,19.41593711,-99.12680181,1852
Carretera Federal Mexico Cuernavaca,14400,San Andres Totoltepec,Tlalpan,Ciudad De Mexico,Ciudad de México,19.25785069,-99.17350959,1923
Camino A La Cantera,14420,Santa Ursula Xitla,Tlalpan,Ciudad De Mexico,Ciudad de México,19.27377555,-99.18851066,1986
Camino A Nativitas,16090,Xaltocan,Xochimilco,Ciudad De Mexico,Ciudad de México,19.25401349,-99.10309984,1855
Circuito Bicentenario,3303,Portales Norte,Benito Juarez,Ciudad De Mexico,Ciudad de México,19.35784848,-99.15361841,1954
Av.Ejido,39580,Hogar Moderno,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.86195357,-99.90981414,2260
Tito Estrada,42730,Progreso,Progreso De Obregon,Progreso De Obregon,Hidalgo,20.24556623,-99.18195418,2520
Emiliano Zapata,42730,Progreso,Progreso De Obregon,Progreso De Obregon,Hidalgo,20.24083172,-99.19220822,2479
Calzada Nacional,42831,San Marcos,Tula De Allende,Tula De Allende,Hidalgo,20.02745044,-99.33616874,2428
"Carr. Queretaro - Huichapan ""Santa Cruz""",42420,Llano Largo,Huichapan,Huichapan,Hidalgo,20.30411458,-99.74438064,2634
Periferico Norte,40025,Ciudad Industrial Del Valle De Iguala,Iguala De La Independencia,Iguala De La Independencia,Guerrero,18.3597821,-99.54220032,2288
"Carretera Mexico-Laredo, Margen Norte",42500,Actopan Centro,Actopan,Actopan,Hidalgo,20.28039677,-98.96093674,2421
Av. Horacio Nelson,39860,Icacos,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.841544,-99.84882625,2382
Avenida Juarez,43300,Atotonilco El Grande,Atotonilco El Grande,Atotonilco El Grande,Hidalgo,20.17503055,-98.7080747,2449
Av. Cuauhtémoc,39300,Acapulco De Juarez Centro,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.85182638,-99.90676446,2385
Av.Costera Miguel Aleman,39300,Acapulco De Juarez Centro,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.84926929,-99.90562847,2358
Sonora,39350,Hornos Insurgentes,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.86318,-99.88995147,2385
Solidaridad,39350,Hornos Insurgentes,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.87130349,-99.88866101,2392
Manuel Acuua Y Avenida Cuauhtemoc,39350,Progreso,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.85809527,-99.89911864,2248
Durango,39350,Progreso,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.86564766,-99.89409766,2315
Avenida Cuauhtemoc,39650,La Garita,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.87524467,-99.86810959,2347
Av.Costera Miguel Aleman,39670,Magallanes,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.86107046,-99.87646727,2237
Av. Costera Miguel Aleman,39690,Club Deportivo,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.85599056,-99.86171849,2270
Avenida Miguel Aleman,39907,Puerto Marquez,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.80348138,-99.83036944,2368
Carretera Cayaco Pto. Marquez,39897,Nuevo Puerto Marquez,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.80590662,-99.82547565,2230
Carret.Fed. Acapulco-Mexico  Km.15,39909,Los Organos De Juan R Escudero,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.9413373,-99.81300922,2300
Francisco Figueroa Maya,40040,Ejidal,Iguala De La Independencia,Iguala De La Independencia,Guerrero,18.34864294,-99.56149577,2343
Av.Lazaro Cardenas,39770,Las Cruces,Acapulco De Juarez,Acapulco De Juarez,Guerrero,16.88546595,-99.83678184,2253
Carretera Joroba Tula 8A,42980,Atotonilco De Tula,Atotonilco De Tula,Atotonilco De Tula,Hidalgo,19.88861191,-99.24006683,2489
Av. Lagunilla,36576,Nuevo Mexico,Irapuato,Irapuato,Guanajuato,20.65803212,-101.360704,2391
Tulipanes,36610,Espanita,Irapuato,Irapuato,Guanajuato,20.6995527,-101.3729656,2270
Av. De La Reforma,36612,Ciudad Deportiva,Irapuato,Irapuato,Guanajuato,20.6907873,-101.3652484,2330
Tetiz,14100,Pedregal De San Nicolas 1Ra Secc,Tlalpan,Ciudad De Mexico,Ciudad de México,19.28403357,-99.2328582,1813
"Carretera  Federal Queretaro Leon , Tramo Iapuato-",36810,Aldama,Irapuato,Irapuato,Guanajuato,20.781043,-101.332247,2292
Comuneros,14630,Villa Tlalpan,Tlalpan,Ciudad De Mexico,Ciudad de México,19.27724414,-99.16419945,1915
Heriberto Jara,36640,Los Principes,Irapuato,Irapuato,Guanajuato,20.6883962,-101.3697436,2212
Plaza De Las Fuentes,36670,Villas De Irapuato,Irapuato,Irapuato,Guanajuato,20.689669,-101.409895,2273
Izamal  Mz 165 Lt 1,14240,Lomas De Padierna,Tlalpan,Ciudad De Mexico,Ciudad de México,19.29043757,-99.22287799,1989
Cda. Don Refugio,14324,Gabriel Ramos Millan,Tlalpan,Ciudad De Mexico,Ciudad de México,19.29765148,-99.11925132,1824
Av. Cafetales,14325,Rinconada Coapa 2Da Secc,Tlalpan,Ciudad De Mexico,Ciudad de México,19.29497038,-99.11469991,1850
Norte 17,15530,Moctezuma 2Da Secc,Venustiano Carranza,Ciudad De Mexico,Ciudad de México,19.43189219,-99.10291349,1825
Norte 23,15530,Moctezuma 2Da Secc,Venustiano Carranza,Ciudad De Mexico,Ciudad de México,19.43250256,-99.09407904,2027
Terminal 1 Aeropuerto Ciudad Mexico,15620,Ciudad De Mexico,Venustiano Carranza,Ciudad De Mexico,Ciudad de México,19.43715488,-99.07942338,1843
Eduardo Bustamante,15670,Adolfo Lopez Mateos,Venustiano Carranza,Ciudad De Mexico,Ciudad de México,19.42189302,-99.07081307,1890
Hidalgo,36700,Salamanca Centro,Salamanca,Salamanca,Guanajuato,20.5681,-101.1936,2236
Miguel Hidalgo,40200,Taxco De Alarcon Centro,Taxco De Alarcon,Taxco De Alarcon,Guerrero,18.55533398,-99.60657076,2203
Av. Plateros,40200,Taxco De Alarcon Centro,Taxco De Alarcon,Taxco De Alarcon,Guerrero,18.55245927,-99.60363701,2224
Carretera Pachuca-Huejutla,43516,Santo Tomas Allende,Huasca De Ocampo,Huasca De Ocampo,Hidalgo,20.222315,-98.63328,2619
Benito Juarez,40240,Exconvento,Taxco De Alarcon,Taxco De Alarcon,Guerrero,18.55795743,-99.60464817,2289
Boulevard Huapalcalli,43627,Santa Clemencia,Tulancingo De Bravo,Tulancingo,Hidalgo,20.10077,-98.36913,2465
Av. Juarez Norte,43630,Insurgentes,Tulancingo De Bravo,Tulancingo,Hidalgo,20.09172849,-98.36729018,2491
Carretera Pachuca-Tulancingo,43780,Singuilucan,Singuilucan,Singuilucan,Hidalgo,20.02034775,-98.49693594,2571
Corregidora,38000,Celaya Centro,Celaya,Celaya,Guanajuato,20.52231252,-100.8142555,2368
Priv. Venustiano Carranza,38000,Celaya Centro,Celaya,Celaya,Guanajuato,20.52204729,-100.8102843,2248
Diego Rivera,38000,Celaya Centro,Celaya,Celaya,Guanajuato,20.51898017,-100.8233379,2368
Av Tecnologico,38010,Fovissste,Celaya,Celaya,Guanajuato,20.53982718,-100.8198687,2211
Lib. Empalme Escobedo-Comonfort,38215,Borunda,Comonfort,Comonfort,Guanajuato,20.71602283,-100.7750791,2234
Fresno,38010,San Antonio,Celaya,Celaya,Guanajuato,20.54293427,-100.8259431,2259
Av. Pradera De Las Torres,38019,Praderas De La Hacienda,Celaya,Celaya,Guanajuato,20.55804414,-100.8427675,2382
Av.Oro,38020,Bugambilias,Celaya,Celaya,Guanajuato,20.53872451,-100.8316532,2250
Av. 12 De Octubre,38023,Zona De Oro,Celaya,Celaya,Guanajuato,20.52377679,-100.8373246,2326
Canal De Labradores,38030,Benito Juarez,Celaya,Celaya,Guanajuato,20.53956571,-100.8066381,2303
Mutualismo,38060,Residencial,Celaya,Celaya,Guanajuato,20.51263317,-100.8232554,2307
Progreso,40960,San Jeronimo De Juarez,Benito Juarez,Benito Juarez,Guerrero,17.14237685,-100.4668417,2349
Av. Vallarta,44100,Guadalajara Centro,Guadalajara,Guadalajara,Jalisco,20.67468407,-103.3704475,1828
Ingreso Nor Poniente De La Estacion Juarez,44100,Guadalajara Centro,Guadalajara,Guadalajara,Jalisco,20.67565441,-103.3549006,1883
Ocampo,44100,Guadalajara Centro,Guadalajara,Guadalajara,Jalisco,20.67435545,-103.3495793,1953
Av. Federalismo Sur,44100,Guadalajara Centro,Guadalajara,Guadalajara,Jalisco,20.67406519,-103.3544759,1995
Niños Heroes,44150,Barrera,Guadalajara,Guadalajara,Jalisco,20.66660585,-103.3697646,1998
Av. Fidel Velazquez Sanchez,44220,Santa Monica,Guadalajara,Guadalajara,Jalisco,20.7123118,-103.3485538,1840
Paseo De Guanajuato,38080,Jardines De Celaya 1Ra Secc,Celaya,Celaya,Guanajuato,20.5147334,-100.798718,2249
Carr Panamericana Tramo Celaya-Cortazar Km 1176,38110,Primera Fraccion De Crespo,Celaya,Celaya,Guanajuato,20.51316392,-100.9322754,2360
Sierra Morena,44340,Independencia Oriente,Guadalajara,Guadalajara,Jalisco,20.68793813,-103.3274661,1800
Belisario Dominguez,44340,Independencia Oriente,Guadalajara,Guadalajara,Jalisco,20.68603417,-103.3257381,1922
Belisario Dominguez,44340,Independencia Oriente,Guadalajara,Guadalajara,Jalisco,20.69026618,-103.3247023,1918
Hermenegildo Galeana,40900,Tecpan De Galeana,Tecpan De Galeana,Tecpan De Galeana,Guerrero,17.22223157,-100.63092,2334
Avenida Juan N. Alvarez,40930,Atoyac De Alvarez,Atoyac De Alvarez,Atoyac De Alvarez,Guerrero,17.21346945,-100.4331637,2231
1Ro. De Mayo,38600,Acambaro Centro,Acambaro,Acambaro,Guanajuato,20.02740824,-100.7257824,2360
Carretera Mexico Tuxpan,43667,Pedregal San Jose,Tulancingo De Bravo,Tulancingo,Hidalgo,20.06748427,-98.41421168,2583
Carretera Tulancingo-Cuautepec,43680,Paraiso,Tulancingo De Bravo,Tulancingo,Hidalgo,20.07402854,-98.35159068,2597
Boulevard Agustin Ramirez,41700,Ometepec,Ometepec,Ometepec,Guerrero,16.69525181,-98.4158509,2275
Peuon De Gribraltar,37530,Colinas De Santa Julia,Leon,Leon,Guanajuato,21.08406661,-101.6430923,2318
Carret.Cuernavaca-Chilpancingo Km 222 + 900,39017,Gildo Tata,Chilpancingo De Los Bravo,Chilpancingo De Los Bravo,Guerrero,17.57536234,-99.51317063,2235
Av. Cuauhtémoc,39022,San Mateo,Chilpancingo De Los Bravo,Chilpancingo De Los Bravo,Guerrero,17.55446669,-99.49920983,2346
Avenida General Porfirio Diaz,41940,Centro,Cuajinicuilapa,Cuajinicuilapa,Guerrero,16.47068432,-98.41287181,2219
Paseo De Zihuatanejo Oriente,40880,El Hujal,Zihuatanejo De Azueta,Zihuatanejo De Azueta,Guerrero,17.65016486,-101.5364572,2238
Blvd. G. Bonfil,42020,Real De Medinas,Pachuca De Soto,Pachuca De Soto,Hidalgo,20.09927348,-98.78189374,2633
Camerino Mendoza,42040,Morelos 1Ra Secc,Pachuca De Soto,Pachuca De Soto,Hidalgo,20.12618337,-98.74529463,2629
Av. Estado De Mexico,52147,San Gaspar Tlahuililpa,Metepec,Metepec,México,19.24870894,-99.55529818,3468
Blvd. Vicente Guerrero,39050,Vista Hermosa,Chilpancingo De Los Bravo,Chilpancingo De Los Bravo,Guerrero,17.54982475,-99.50857811,2275
Carretera Ojuelos-Aguascalientes,47470,El Refugio,Lagos De Moreno,Lagos De Moreno,Jalisco,21.86132602,-102.2217323,1933
Libramiento Sur,47504,Santa Teresa,Lagos De Moreno,Lagos De Moreno,Jalisco,21.30834586,-101.9286124,1826
Trebol Sur,39070,Villa Moderna,Chilpancingo De Los Bravo,Chilpancingo De Los Bravo,Guerrero,17.53400754,-99.49617858,2343
Cedros,39074,Jardines Del Sur,Chilpancingo De Los Bravo,Chilpancingo De Los Bravo,Guerrero,17.53510384,-99.5056392,2382
Boulevard Arturo San Roman,51900,Ixtapan De La Sal,Ixtapan De La Sal,Ixtapan De La Sal,México,18.85085517,-99.68057069,3515
Calle    De Iztaccihuatl,52169,Xinantecatl,Metepec,Metepec,México,19.26048212,-99.63513788,3404
Avenida Ruffo Figueroa Esq.Pleassant Hill,39090,Burocrata,Chilpancingo De Los Bravo,Chilpancingo De Los Bravo,Guerrero,17.53430377,-99.49086312,2242
Paseo Alejandro Cervantes Delgado,39090,Burocrata,Chilpancingo De Los Bravo,Chilpancingo De Los Bravo,Guerrero,17.5422107,-99.50152708,2236
Blvd.Vicente Guerrero,39090,Burocrata,Chilpancingo De Los Bravo,Chilpancingo De Los Bravo,Guerrero,17.51608464,-99.4814927,2355
Av. Gral. Alfonso Corona Del Rosal Lt. 2 Mza. 14,42083,Parque Urbano Pachocan,Pachuca De Soto,Pachuca De Soto,Hidalgo,20.06897426,-98.7764915,2592
Carr. A Lagos Km. 6.8,47000,San Juan De Los Lagos Centro,San Juan De Los Lagos,San Juan De Los Lagos,Jalisco,21.2883332,-102.2705685,1991
Av Gobernadores Lote 2,52176,San Francisco Infonavit,Metepec,Metepec,México,19.26672164,-99.59746752,3594
Km. 9  Carr. Toluca Tenango,52180,Mexicaltzingo,Mexicalcingo,Mexicalcingo,México,19.21759499,-99.59166586,3567
Santa Teresa Del Niño Jesus,52280,San Antonio La Isla,San Antonio La Isla,San Antonio La Isla,México,19.17288095,-99.56069915,3600
San Dimas,52280,San Antonio La Isla,San Antonio La Isla,San Antonio La Isla,México,19.17479584,-99.56314274,3506
Ramon G Bonfil,42088,Piracantos,Pachuca De Soto,Pachuca De Soto,Hidalgo,20.11372244,-98.77032683,2570
Av. Viaducto Rojo Gomez,42090,Cubitos,Pachuca De Soto,Pachuca De Soto,Hidalgo,20.11215025,-98.73094759,2552
Av Juarez,42300,Ixmiquilpan,Ixmiquilpan,Ixmiquilpan,Hidalgo,20.48473805,-99.21841413,2596
Carr. Metepec - Zacango,52161,La Magdalena Ocotitlan,Metepec,Metepec,México,19.23608933,-99.61864218,3584
Leona Vicario Poniente,52166,Jorge Jimenez Cantu,Metepec,Metepec,México,19.26132966,-99.62669511,3428
Carr. Pachuca- Tulancingo,42180,Pachuquilla,Mineral De La Reforma,Mineral De La Reforma,Hidalgo,20.07227239,-98.70275605,2471
"Privada 21 Lote 224, 225 Y 226 Mza, Ix",42181,Mineral De La Reforma,Mineral De La Reforma,Mineral De La Reforma,Hidalgo,20.07712007,-98.72916102,2629
Av. Benito Juarez,52050,San Mateo Atarasquillo,Lerma,Lerma,México,19.3288836,-99.46373191,3475
Carretera Tenango-Toluca,52360,Santa Maria Rayon,Rayon,Rayon,México,19.14111324,-99.59004439,3503
Insurgentes,52400,El Salitre,Tenancingo,Tenancingo,México,18.95468341,-99.59317438,3433
Av De Los Insurgentes Nte,52400,Tenancingo,Tenancingo,Tenancingo,México,18.97150858,-99.58684044,3585
Manzana,42184,Villas Del Alamo,Mineral De La Reforma,Mineral De La Reforma,Hidalgo,20.09751663,-98.70497737,2527
Efestos,42186,El Chacon Pri,Mineral De La Reforma,Mineral De La Reforma,Hidalgo,20.079082,-98.7374363,2432
Libramiento A Tampico,42186,El Chacon Pri,Mineral De La Reforma,Mineral De La Reforma,Hidalgo,20.08418792,-98.73548795,2540
Carretera Mexico-Pachuca,42191,Acayuca,Zapotlan De Juarez,Zapotlan De Juarez,Hidalgo,20.01022242,-98.82210846,2510
Reforma,52105,Buenavista,San Mateo Atenco,San Mateo Atenco,México,19.27968701,-99.5480063,3407
Paseo Tollocan,52106,Reforma,San Mateo Atenco,San Mateo Atenco,México,19.28711688,-99.55756725,3473
Vialidad Metepec Zacango Km 4.5 Barrio Espiritu,52140,Metepec Centro,Metepec,Metepec,México,19.24738872,-99.61132603,3413
Ave Tlachicuerias,66437,Santo Domingo,San Nicolas De Los Garza,San Nicolas De Los Garza,Nuevo León,25.74851315,-100.2489572,960
Montes Berneses,66438,Valle De Las Flores,San Nicolas De Los Garza,San Nicolas De Los Garza,Nuevo León,25.75581262,-100.2660267,883
Fuente Alegre,66444,Fuentes De Anahuac,San Nicolas De Los Garza,San Nicolas De Los Garza,Nuevo León,25.73516402,-100.2623591,1058
Pascacio Luis De Letona,66446,Paseo De San Nicolas,San Nicolas De Los Garza,San Nicolas De Los Garza,Nuevo León,25.7399016,-100.2521136,1022
Avenida Lopez Mateos,66470,Rincon Del Oriente,San Nicolas De Los Garza,San Nicolas De Los Garza,Nuevo León,25.73305658,-100.2478386,1073
Ave. Union,66475,Casa Blanca,San Nicolas De Los Garza,San Nicolas De Los Garza,Nuevo León,25.71340353,-100.248701,1047
Ave. Nogalar,66480,Valle Del Nogalar,San Nicolas De Los Garza,San Nicolas De Los Garza,Nuevo León,25.71566263,-100.2833559,912
Av. Circunvalacion,67118,La Floresta,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.69605126,-100.2103593,910
Av. Ruiz Cortinez,67124,Real De Minas,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.70294886,-100.2585227,1035
Bonifacio Salinas,67128,Industrial Las Americas,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.70085253,-100.2402696,1095
Av. B,67129,Central De Carga,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.70932568,-100.2358634,1032
Vista Regia,67130,Lindavista,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.69185879,-100.2580924,1074
Av. Eloy Cavazos,67190,Rincon De La Sierra,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.64965988,-100.1889669,922
Carr. Santa Rosa,66610,Santa Rosa,Apodaca,Apodaca,Nuevo León,25.76873961,-100.2302225,891
Carretera Santa Rosa,66612,Cosmopolis Metroplex,Apodaca,Apodaca,Nuevo León,25.83017002,-100.2453596,1050
Azteca,67150,Azteca Sect 5,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.68079655,-100.2437233,916
Apache,67150,Ciudad Azteca,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.68418633,-100.2438822,1059
Las Espuelas,67150,La Hacienda,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.67484422,-100.2441185,972
Guanacastle,70989,Bahias De Huatulco,Santa Maria Huatulco,Santa Maria Huatulco,Oaxaca,15.765479,-96.138855,7505
Aceros,66630,Mezquital,Apodaca,Apodaca,Nuevo León,25.74962333,-100.2399462,909
Carret. Mezquital- Santa Rosa,66630,Mezquital,Apodaca,Apodaca,Nuevo León,25.78333396,-100.2255759,1086
Manuel Gonzalez Caballero,66633,Alamos Del Parque,Apodaca,Apodaca,Nuevo León,25.73371222,-100.1838594,941
Ignacio Sepulveda,66633,La Encarnacion,Apodaca,Apodaca,Nuevo León,25.73369388,-100.1990775,985
16 De Septiembre,66634,Independencia Croc,Apodaca,Apodaca,Nuevo León,25.74191994,-100.1908725,930
Calabacilla,66635,Hacienda Las Palmas,Apodaca,Apodaca,Nuevo León,25.77565092,-100.26596,866
Ma. Concepcion Barragan,66635,La Enramada,Apodaca,Apodaca,Nuevo León,25.76451359,-100.2571965,1034
Av. Costa Rica,66636,Nuevo Amanecer 1,Apodaca,Apodaca,Nuevo León,25.77889529,-100.254981,923
Costa De Marfil,66636,Prados De La Cieneguita,Apodaca,Apodaca,Nuevo León,25.78112971,-100.2584827,975
Ave. Acapulco,66649,Nueva Mixcoac,Apodaca,Apodaca,Nuevo León,25.7197,-100.18184,1033
Carretera Miguel Aleman Km. 38,66700,Marin,Marin,Marin,Nuevo León,25.85553255,-100.0215994,880
Carretera Monterrey A Reynosa,67485,Cadereyta,Cadereyta Jimenez,Cadereyta Jimenez,Nuevo León,25.59693116,-100.0259708,1008
Prof. German Almaraz,67110,La Victoria,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.7063345,-100.2233495,938
Ruiz Cortinez,67110,Nueva Lindavista,Guadalupe,Guadalupe (Ciudad Guadalupe),Nuevo León,25.70314318,-100.2312247,974
